lake,round,location,direction,date_in,time_in,date_out,time_out,daysin,mayfly
BARRET2,3,SM,N,8/4/15,1240,9/10/15,930,37,0
BARRET2,3,SM,S,8/4/15,1240,9/10/15,930,37,0
BARRET2,3,SM,E,8/4/15,1240,9/10/15,930,37,0
BARRET2,3,SM,W,8/4/15,1240,9/10/15,930,37,0
BARRET2,3,X,N,8/4/15,1310,9/10/15,930,37,0
BARRET2,3,X,S,8/4/15,1310,9/10/15,930,37,0
BARRET2,3,X,E,8/4/15,1310,9/10/15,930,37,0
BARRET2,3,X,W,8/4/15,1310,9/10/15,930,37,0
WRIGHT1,3,SM,N,8/17/15,1516,9/3/15,1330,17,0
WRIGHT1,3,SM,S,8/17/15,1516,9/3/15,1330,17,0
WRIGHT1,3,SM,E,8/17/15,1516,9/3/15,1330,17,0
WRIGHT1,3,SM,W,8/17/15,1516,9/3/15,1330,17,0
WRIGHT1,3,X,N,8/17/15,1514,9/3/15,1330,17,0
WRIGHT1,3,X,S,8/17/15,1514,9/3/15,1330,17,0
WRIGHT1,3,X,E,8/17/15,1514,9/3/15,1330,17,0
WRIGHT1,3,X,W,8/17/15,1514,9/3/15,1330,17,0
WRIGHT2,3,SM,N,8/17/15,1321,9/3/15,1500,17,0
WRIGHT2,3,SM,S,8/17/15,1321,9/3/15,1500,17,0
WRIGHT2,3,SM,E,8/17/15,1321,9/3/15,1500,17,0
WRIGHT2,3,SM,W,8/17/15,1321,9/3/15,1500,17,0
WRIGHT2,3,X,N,8/17/15,1304,9/3/15,1500,17,0
WRIGHT2,3,X,S,8/17/15,1304,9/3/15,1500,17,0
WRIGHT2,3,X,E,8/17/15,1304,9/3/15,1500,17,0
WRIGHT2,3,X,W,8/17/15,1304,9/3/15,1500,17,0
UPKERN1,3,SM,N,8/14/15,1039,9/5/15,1030,22,0
UPKERN1,3,SM,S,8/14/15,1039,9/5/15,1030,22,0
UPKERN1,3,SM,E,8/14/15,1039,9/5/15,1030,22,0
UPKERN1,3,SM,W,8/14/15,1039,9/5/15,1030,22,0
UPKERN1,3,X,N,8/14/15,1032,9/5/15,1030,22,0
UPKERN1,3,X,S,8/14/15,1032,9/5/15,1030,22,0
UPKERN1,3,X,E,8/14/15,1032,9/5/15,1030,22,0
UPKERN1,3,X,W,8/14/15,1032,9/5/15,1030,22,0
UPKERN2,3,SM,N,8/14/15,930,9/5/15,1108,22,0
UPKERN2,3,SM,S,8/14/15,930,9/5/15,1108,22,0
UPKERN2,3,SM,E,8/14/15,930,9/5/15,1108,22,0
UPKERN2,3,SM,W,8/14/15,930,9/5/15,1108,22,0
UPKERN2,3,X,N,8/14/15,932,9/5/15,1115,22,0
UPKERN2,3,X,S,8/14/15,932,9/5/15,1115,22,0
UPKERN2,3,X,E,8/14/15,932,9/5/15,1115,22,0
UPKERN2,3,X,W,8/14/15,932,9/5/15,1115,22,0
AMPHIT1,3,SM,N,8/3/15,1150,9/16/15,1648,44,0
AMPHIT1,3,SM,S,8/3/15,1150,9/16/15,1648,44,0
AMPHIT1,3,SM,E,8/3/15,1150,9/16/15,1648,44,0
AMPHIT1,3,SM,W,8/3/15,1150,9/16/15,1648,44,0
AMPHIT1,3,X,N,8/3/15,1257,9/16/15,1627,44,0
AMPHIT1,3,X,S,8/3/15,1257,9/16/15,1627,44,1
AMPHIT1,3,X,E,8/3/15,1257,9/16/15,1627,44,0
AMPHIT1,3,X,W,8/3/15,1257,9/16/15,1627,44,1
AMPHIT2,3,SM,N,8/3/15,1530,9/16/15,1007,44,0
AMPHIT2,3,SM,S,8/3/15,1530,9/16/15,1007,44,0
AMPHIT2,3,SM,E,8/3/15,1530,9/16/15,1007,44,0
AMPHIT2,3,SM,W,8/3/15,1530,9/16/15,1007,44,0
AMPHIT2,3,X,N,8/3/15,1445,9/27/15,1800,55,0
AMPHIT2,3,X,S,8/3/15,1445,9/27/15,1800,55,0
AMPHIT2,3,X,E,8/3/15,1445,9/27/15,1800,55,0
AMPHIT2,3,X,W,8/3/15,1445,9/27/15,1800,55,0
CENTER1,3,SM,N,8/12/15,1659,9/3/15,902,22,0
CENTER1,3,SM,S,8/12/15,1659,9/3/15,902,22,0
CENTER1,3,SM,E,8/12/15,1659,9/3/15,902,22,0
CENTER1,3,SM,W,8/12/15,1659,9/3/15,902,22,0
CENTER1,3,X,N,8/12/15,1723,9/3/15,947,22,0
CENTER1,3,X,S,8/12/15,1723,9/3/15,947,22,0
CENTER1,3,X,E,8/12/15,1723,9/3/15,947,22,1
CENTER1,3,X,W,8/12/15,1723,9/3/15,947,22,0
CENTER2,3,SM,N,8/12/15,1600,9/3/15,1037,22,0
CENTER2,3,SM,S,8/12/15,1600,9/3/15,1037,22,0
CENTER2,3,SM,E,8/12/15,1600,9/3/15,1037,22,0
CENTER2,3,SM,W,8/12/15,1600,9/3/15,1037,22,0
CENTER2,3,X,N,8/12/15,1642,9/3/15,1023,22,0
CENTER2,3,X,S,8/12/15,1642,9/3/15,1023,22,0
CENTER2,3,X,E,8/12/15,1642,9/3/15,1023,22,0
CENTER2,3,X,W,8/12/15,1642,9/3/15,1023,22,0
